country,YearDisplay,SexDisplay,total_litres_of_pure_alcohol,millions of us dollars
Thailand,NA,NA,6.4,373804
Belize,NA,NA,6.8,1624
Togo,NA,NA,1.3,4518
Tonga,NA,NA,1.1,434
Tunisia,NA,NA,1.3,46995
Turkey,NA,NA,1.4,799535
Turkmenistan,NA,NA,2.2,47932
Tuvalu,NA,NA,1,38
Uganda,NA,NA,8.3,26312
Benin,NA,NA,1.1,8747
Ukraine,NA,NA,8.9,131805
United Arab Emirates,NA,NA,2.8,401647
Uruguay,NA,NA,6.6,57471
Uzbekistan,NA,NA,2.4,62644
Vanuatu,NA,NA,0.9,802
Bhutan,NA,NA,0.4,1821
Zambia,NA,NA,2.5,27066
Zimbabwe,NA,NA,4.7,13663
Algeria,NA,NA,0.7,214063
Botswana,NA,NA,5.4,15813
Brazil,NA,NA,7.2,2346118
Bulgaria,NA,NA,10.3,55735
Burkina Faso,NA,NA,4.3,12543
Burundi,NA,NA,6.3,3094
Cabo Verde,NA,NA,4,1871
Andorra,NA,NA,12.4,3249
Cambodia,NA,NA,2.2,16709
Cameroon,NA,NA,5.8,32549
Canada,NA,NA,8.2,1786655
Central African Republic,NA,NA,1.8,1783
Chad,NA,NA,0.4,13922
Chile,NA,NA,7.6,258062
China,NA,NA,5,10360105
Colombia,NA,NA,4.2,377740
Comoros,NA,NA,0.1,648
Angola,NA,NA,5.9,131401
Costa Rica,NA,NA,4.4,49553
Croatia,NA,NA,10.2,57223
Cuba,NA,NA,4.2,77150
Cyprus,NA,NA,8.2,23226
Czech Republic,NA,NA,11.8,205523
Denmark,NA,NA,10.4,341952
Djibouti,NA,NA,1.1,1582
Dominica,NA,NA,6.6,538
Dominican Republic,NA,NA,6.2,63969
Ecuador,NA,NA,4.2,100543
El Salvador,NA,NA,2.2,25220
Equatorial Guinea,NA,NA,5.8,14308
Eritrea,NA,NA,0.5,3858
Estonia,NA,NA,9.5,25905
Ethiopia,NA,NA,0.7,54798
Fiji,NA,NA,2,4030
Argentina,NA,NA,8.3,540197
Finland,NA,NA,10,270674
France,NA,NA,11.8,2829192
Gabon,NA,NA,8.9,17228
Georgia,NA,NA,5.4,16530
Germany,NA,NA,11.3,3852556
Ghana,NA,NA,1.8,38648
Greece,NA,NA,8.3,237592
Grenada,NA,NA,11.9,882
Guatemala,NA,NA,2.2,58728
Armenia,NA,NA,3.8,10882
Guinea,NA,NA,0.2,6624
Guyana,NA,NA,7.1,3228
Haiti,NA,NA,5.9,8713
Honduras,NA,NA,3,19385
Hungary,NA,NA,11.3,137104
Iceland,NA,NA,6.6,17071
India,NA,NA,2.2,2066902
Indonesia,NA,NA,0.1,888538
Australia,NA,NA,10.4,1453770
Iraq,NA,NA,0.2,220506
Ireland,NA,NA,11.4,245921
Israel,NA,NA,2.5,304226
Italy,NA,NA,6.5,2144338
Jamaica,NA,NA,3.4,14362
Japan,NA,NA,7,4601461
Jordan,NA,NA,0.5,35827
Kazakhstan,NA,NA,6.8,212248
Kenya,NA,NA,1.8,60937
Kiribati,NA,NA,1,167
Austria,NA,NA,9.7,436344
Kuwait,NA,NA,0,175827
Latvia,NA,NA,10.5,31921
Lebanon,NA,NA,1.9,45731
Lesotho,NA,NA,2.8,2088
Liberia,NA,NA,3.1,2027
Libya,NA,NA,0,41119
Lithuania,NA,NA,12.9,48172
Luxembourg,NA,NA,11.4,60131
